id,name,symbol,cmc_rank,price,percent_change_1h,percent_change_24h,market_cap,volume_24h,last_updated
33038,Sky,SKY,63,0.07077494333164153,-0.25414655,-6.08641361,1657744270.6973648,40378385.8746313,2025-09-20T08:35:00.000Z
29210,Jupiter,JUP,64,0.5309799441383148,0.73728471,-2.02334963,1652273891.2708433,44095222.58167053,2025-09-20T08:35:00.000Z
10603,Immutable,IMX,65,0.8339903116925125,-0.11816385,-3.90190121,1617889572.6683786,140014022.83140448,2025-09-20T08:34:00.000Z
3773,Artificial Superintelligence Alliance,FET,66,0.6484826241265248,0.25527507,-3.10878771,1538598826.2336328,72501748.61979833,2025-09-20T08:35:00.000Z
11840,Optimism,OP,67,0.8043826484511627,-0.15415208,-3.07869261,1430702641.2545183,153961145.12919453,2025-09-20T08:35:00.000Z
27772,PayPal USD,PYUSD,68,0.9996241640396402,0.02064302,-0.00187791,1391061922.4178104,48674324.39141584,2025-09-20T08:35:00.000Z
7226,Injective,INJ,69,13.914098869652182,0.16148881,-3.53331899,1391005479.3863523,79914098.47669628,2025-09-20T08:35:00.000Z
4269,GateToken,GT,70,16.693958244308945,-0.04633878,-2.48670711,1375026753.4496264,11252489.28827242,2025-09-20T08:35:00.000Z
22861,Celestia,TIA,71,1.7259978986363445,0.25940449,-4.26510219,1359171880.1613436,87515276.04949744,2025-09-20T08:35:00.000Z
2634,XDC Network,XDC,72,0.07641039009374796,-0.05046459,-2.18241383,1355917483.7894318,35018441.48903204,2025-09-20T08:34:00.000Z
3155,Quant,QNT,73,99.04936776655617,-0.19749662,-0.40640039,1195797066.1112778,19463649.85230026,2025-09-20T08:35:00.000Z
4847,Stacks,STX,74,0.6563227358253204,-0.21081895,-3.44603085,1181126998.0621374,27250255.16565834,2025-09-20T08:34:00.000Z
28081,SPX6900,SPX,75,1.256270635553039,-0.26917765,-7.81854373,1169579280.9577267,31737997.66666438,2025-09-20T08:35:00.000Z
26081,First Digital USD,FDUSD,76,0.9981255815497782,0.01650505,0.00833313,1147235016.9940934,4558248302.758326,2025-09-20T08:35:00.000Z
29270,Aerodrome Finance,AERO,77,1.2579050956101112,-0.03447726,-1.99761519,1128471503.385871,46205716.98035309,2025-09-20T08:34:00.000Z
8000,Lido DAO,LDO,78,1.2586579807325124,0.24312788,-4.11765901,1127507767.6263404,81481924.62666364,2025-09-20T08:35:00.000Z
6538,Curve DAO Token,CRV,79,0.7792889280212479,0.0547692,-2.16847873,1084386220.9761064,145880810.84760755,2025-09-20T08:35:00.000Z
4705,PAX Gold,PAXG,80,3686.741022361932,-0.01878881,0.71003832,1071287513.9497918,79834549.40273511,2025-09-20T08:35:00.000Z
28177,Pyth Network,PYTH,81,0.17455705808983674,1.30267002,2.6233097,1003700198.5033861,78755579.52600248,2025-09-20T08:35:00.000Z
6719,The Graph,GRT,82,0.09372321726365927,0.01514358,-3.24483822,984754579.9887098,36407111.42434039,2025-09-20T08:35:00.000Z
7186,PancakeSwap,CAKE,83,2.845382421836953,1.32274299,4.32158504,983311890.958214,151001691.5522344,2025-09-20T08:35:00.000Z
32880,Kaia,KAIA,84,0.15760658059530086,-0.00021964,-0.85102112,965086467.863624,20675390.86364409,2025-09-20T08:35:00.000Z
10804,FLOKI,FLOKI,85,9.699578903335392e-05,0.24200282,-2.82072935,925275569.2621188,65278101.93243546,2025-09-20T08:35:00.000Z
7334,Conflux,CFX,86,0.1784184963776132,0.22970776,-1.07789366,916567203.6858286,49155649.9741807,2025-09-20T08:35:00.000Z
5176,Tether Gold,XAUt,87,3685.3456801671728,-0.03453982,0.88227037,908526158.457532,41696733.79471346,2025-09-20T08:35:00.000Z
28752,dogwifhat,WIF,88,0.8948416375668844,-0.11827062,-5.50877142,893803590.5469612,184119663.94344363,2025-09-20T08:35:00.000Z
9481,Pendle,PENDLE,89,5.1667408286809415,0.27791044,0.58347929,879908146.5369217,92949883.11505629,2025-09-20T08:35:00.000Z
13855,Ethereum Name Service,ENS,90,23.3245583867126,0.01872429,-2.64726052,862985791.1091343,51682571.91630536,2025-09-20T08:34:00.000Z
8526,Raydium,RAY,91,3.167600775417556,-0.08359991,-2.72149928,849319577.7370069,56868964.14581496,2025-09-20T08:34:00.000Z
32684,Sonic,S,92,0.2948189089484894,0.40191887,-4.59250683,849078457.7716495,69785028.68925476,2025-09-20T08:35:00.000Z
29420,Virtuals Protocol,VIRTUAL,93,1.2826553433599142,-0.10130054,-3.08629941,840911772.1174192,79214870.91218795,2025-09-20T08:35:00.000Z
2694,Nexo,NEXO,94,1.2975224381285348,-0.42043205,0.53604837,838388725.1515541,13205687.21463593,2025-09-20T08:35:00.000Z
